id,age_band,region,role,device,network,digital_literacy,intent,accessibility_need,journey_completion,sentiment,primary_issue_code,primary_issue,resolution_status,evidence_level,evidence_ref,requested_feature_code,requested_feature,score_visual,score_clarity,score_navigation,score_planning,score_trust,score_mobile,score_accessibility,recommend_0_10,positive_note,criticism,comment
U00011,55-64,Central Vietnam,family_trip_planner,mobile,4g_good,average,inspiration,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.8,3.8,4.5,4.2,4.5,4.7,5,10,"CTA trên mobile dễ chạm, đặc biệt là gọi điện và chỉ đường.","Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi chủ yếu tìm cảm hứng cho một điểm đến mới bằng điện thoại qua 4G ổn định. Tôi phải cân nhắc an toàn và sức của cả gia đình và dự tính di chuyển từ miền Trung. CTA trên mobile dễ chạm, đặc biệt là gọi điện và chỉ đường. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00012,45-54,Central Vietnam,student,mobile,4g_weak,basic,trip_planning,none,abandoned,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.4,4.3,4.3,3.8,4.6,4.5,4.8,10,"Thông tin liên hệ cuối trang cụ thể, có điện thoại và email.","Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi vào trang để lên kế hoạch chuyến đi thật ở màn hình nhỏ với 4G yếu. Tôi ưu tiên thông tin ngắn gọn và chi phí vừa túi tiền và dự tính di chuyển từ miền Trung. Thông tin liên hệ cuối trang cụ thể, có điện thoại và email. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00013,18-24,Ha Noi_North,tourism_professional,mobile,4g_weak,advanced,trip_planning,none,partial,mixed,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.3,5,3.9,4.4,4.7,4.1,7,Ảnh mở đầu và bảng màu xanh tạo cảm giác Trà Linh rất riêng.,"Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi vào trang để lên kế hoạch chuyến đi thật bằng điện thoại với 4G yếu. Tôi xem cả trải nghiệm khách lẫn tính chính xác vận hành và cần tính thêm chặng dài từ phía Bắc. Ảnh mở đầu và bảng màu xanh tạo cảm giác Trà Linh rất riêng. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00014,25-34,Central Vietnam,family_trip_planner,mobile,wifi,advanced,trip_planning,none,partial,positive,TRIP_INFO_GAPS,"Chờ dữ liệu chính thức về quãng đường, chi phí hoặc lịch nhận khách",blocked_external,blocked_by_official_source,"evidence-deployed-latest.json#pageFacts.headings,anchors",verified_route_distance,quãng đường đã được địa phương đo và xác nhận,4.1,3.9,4.6,3.9,4.5,4.5,4.4,8,"Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường.","Khối thông tin chuyến đi đã rõ thời lượng, độ khó và từng chặng; tôi vẫn muốn quãng đường khi địa phương xác minh xong.","Tôi vào trang để lên kế hoạch chuyến đi thật ở màn hình nhỏ qua Wi‑Fi. Tôi phải cân nhắc an toàn và sức của cả gia đình và dự tính di chuyển từ miền Trung. Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường. Khối thông tin chuyến đi đã rõ thời lượng, độ khó và từng chặng; tôi vẫn muốn quãng đường khi địa phương xác minh xong. Đề xuất quãng đường đã được địa phương đo và xác nhận chỉ nên triển khai khi có nguồn chính thức và đơn vị chịu trách nhiệm."
U00015,35-44,Ha Noi_North,retired_traveler,mobile,4g_good,basic,inspiration,none,completed,mixed,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.5,4.7,4.9,4.2,3.8,4.8,4.7,6,Ảnh mở đầu và bảng màu xanh tạo cảm giác Trà Linh rất riêng.,"Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi chủ yếu tìm cảm hứng cho một điểm đến mới ở màn hình nhỏ qua 4G ổn định. Tôi cần chữ dễ đọc và nhịp tham quan không quá gấp và cần tính thêm chặng dài từ phía Bắc. Ảnh mở đầu và bảng màu xanh tạo cảm giác Trà Linh rất riêng. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00016,65+,Ha Noi_North,content_creator,mobile,4g_weak,average,trip_planning,none,completed,negative,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.2,4,4,3.8,3.9,4,4,4,"Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường.","Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi vào trang để lên kế hoạch chuyến đi thật ở màn hình nhỏ với 4G yếu. Tôi chú ý câu chuyện, hình ảnh và khả năng chia sẻ và cần tính thêm chặng dài từ phía Bắc. Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00017,35-44,Other Vietnam,small_business,desktop,wifi,average,xo_dang_culture,none,partial,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.5,4.9,4.6,4.8,4.8,4.1,10,Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn.,"Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi muốn hiểu văn hóa Xơ Đăng một cách tôn trọng bằng máy tính qua Wi‑Fi. Tôi để ý đầu mối liên hệ và cơ hội kết nối địa phương và chưa quen đường đến Trà Linh. Bản đồ có nhiều điểm và phần liên hệ cơ quan giúp trang đáng tin hơn. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00018,25-34,Central Vietnam,office_worker,mobile,4g_weak,advanced,inspiration,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.8,4.1,5,3.9,4.5,4.4,4.8,10,"Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc.","Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi chủ yếu tìm cảm hứng cho một điểm đến mới bằng điện thoại với 4G yếu. Tôi thường so sánh kỹ trước khi xin nghỉ phép và dự tính di chuyển từ miền Trung. Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00019,35-44,Da Nang_Quang Nam,office_worker,mobile,4g_weak,average,inspiration,motion_sensitivity,abandoned,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.3,4.3,4.5,4.6,5,4.9,9,Trang không bị tràn ngang trên điện thoại và chữ chính nhìn rõ.,"Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi chủ yếu tìm cảm hứng cho một điểm đến mới bằng điện thoại với 4G yếu. Tôi thường so sánh kỹ trước khi xin nghỉ phép và có thể xuất phát từ khu vực Đà Nẵng–Quảng Nam. Trang không bị tràn ngang trên điện thoại và chữ chính nhìn rõ. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00020,45-54,Overseas Vietnamese,office_worker,mobile,4g_good,average,trip_planning,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.5,4.4,4.5,4.6,4.9,4,10,"Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường.","Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng.","Tôi vào trang để lên kế hoạch chuyến đi thật bằng điện thoại qua 4G ổn định. Tôi thường so sánh kỹ trước khi xin nghỉ phép và muốn chia sẻ thông tin rõ ràng cho người thân ở nước ngoài. Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường. Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng. Hiện tại tôi không yêu cầu chỉnh sửa."
U00021,45-54,Overseas Vietnamese,office_worker,desktop,4g_good,average,trip_planning,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.3,4.6,4.2,4.7,4.8,4.4,5,8,Phần hero tạo ấn tượng mạnh và cho tôi biết ngay chủ đề chính.,"Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương.","Tôi vào trang để lên kế hoạch chuyến đi thật ở màn hình desktop qua 4G ổn định. Tôi thường so sánh kỹ trước khi xin nghỉ phép và muốn chia sẻ thông tin rõ ràng cho người thân ở nước ngoài. Phần hero tạo ấn tượng mạnh và cho tôi biết ngay chủ đề chính. Nguồn, trạng thái xác minh và kênh liên hệ đã rõ hơn; tôi sẽ dùng website như điểm bắt đầu trước khi liên hệ địa phương. Hiện tại tôi không yêu cầu chỉnh sửa."
U00022,25-34,Central Vietnam,trekker,mobile,4g_good,advanced,ginseng_products,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.3,4.3,4.8,4.3,4.2,5,4,10,"CTA trên mobile dễ chạm, đặc biệt là gọi điện và chỉ đường.","Trang vẫn giàu hình ảnh nhưng đã có lối tắt, danh sách rút gọn và chế độ tiết kiệm dữ liệu nên tôi không đề xuất thay đổi thêm.","Tôi muốn tìm hiểu sâm Ngọc Linh và sản vật bằng điện thoại qua 4G ổn định. Tôi quen kiểm tra độ khó, quãng đường và rủi ro trước khi đi và dự tính di chuyển từ miền Trung. CTA trên mobile dễ chạm, đặc biệt là gọi điện và chỉ đường. Trang vẫn giàu hình ảnh nhưng đã có lối tắt, danh sách rút gọn và chế độ tiết kiệm dữ liệu nên tôi không đề xuất thay đổi thêm. Hiện tại tôi không yêu cầu chỉnh sửa."
U00023,45-54,Da Nang_Quang Nam,family_trip_planner,mobile,wifi,average,inspiration,none,partial,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.7,4.2,4.5,4,3.8,4.5,5,10,Phần hero tạo ấn tượng mạnh và cho tôi biết ngay chủ đề chính.,"Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng.","Tôi chủ yếu tìm cảm hứng cho một điểm đến mới trên điện thoại qua Wi‑Fi. Tôi phải cân nhắc an toàn và sức của cả gia đình và có thể xuất phát từ khu vực Đà Nẵng–Quảng Nam. Phần hero tạo ấn tượng mạnh và cho tôi biết ngay chủ đề chính. Tôi có thể xem hành trình, lưu nội dung, chia sẻ và dùng cẩm nang khi cần; trải nghiệm hiện tại đã đủ dùng. Hiện tại tôi không yêu cầu chỉnh sửa."
U00024,25-34,Ho Chi Minh_South,teacher_public_sector,mobile,wifi,basic,international,none,completed,positive,OFFICIAL_EVENTS_REQUEST,Chờ nguồn chính thức cho lịch sự kiện và cảnh báo chủ động,blocked_external,blocked_by_official_source,evidence-deployed-latest.json#featureChecks,official_travel_alerts,cảnh báo chủ động có đơn vị chịu trách nhiệm,4.9,4,3.7,3.5,3.7,4.7,4.6,8,"Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường.","Nếu địa phương công bố lịch sự kiện và đầu mối cập nhật ổn định, tôi muốn website bổ sung sau; hiện tại không nên tự suy đoán.","Tôi xem với góc nhìn của khách không nói tiếng Việt trên điện thoại qua Wi‑Fi. Tôi quan tâm nguồn, tính chính thống và giá trị giáo dục và cần tính thêm chặng dài từ phía Nam. Thiết kế có chất tạp chí, khác với nhiều trang giới thiệu địa phương thông thường. Nếu địa phương công bố lịch sự kiện và đầu mối cập nhật ổn định, tôi muốn website bổ sung sau; hiện tại không nên tự suy đoán. Đề xuất cảnh báo chủ động có đơn vị chịu trách nhiệm chỉ nên triển khai khi có nguồn chính thức và đơn vị chịu trách nhiệm."
U00025,35-44,Ha Noi_North,general_traveler,mobile,wifi,average,international,cognitive,partial,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,4.3,4.1,4.6,3.8,4,5,5,8,"Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc.","Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi xem với góc nhìn của khách không nói tiếng Việt trên điện thoại qua Wi‑Fi. Tôi muốn hiểu nhanh nơi này có phù hợp với mình hay không và cần tính thêm chặng dài từ phía Bắc. Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00026,65+,Ho Chi Minh_South,teacher_public_sector,mobile,wifi,average,trip_planning,none,completed,positive,SATISFIED_NO_CHANGE,"Hài lòng, không yêu cầu chỉnh sửa",satisfied,preference,evidence-deployed-latest.json#featureChecks,no_change,giữ nguyên trải nghiệm hiện tại,5,4.9,4.7,4.2,4.7,4.7,4.6,10,"Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc.","Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này.","Tôi vào trang để lên kế hoạch chuyến đi thật trên điện thoại qua Wi‑Fi. Tôi quan tâm nguồn, tính chính thống và giá trị giáo dục và cần tính thêm chặng dài từ phía Nam. Câu chuyện về rừng, người Xơ Đăng và vùng sâm được kết nối khá mạch lạc. Các tác vụ chính đã rõ, tôi không thấy điểm nào cần sửa thêm ở thời điểm này. Hiện tại tôi không yêu cầu chỉnh sửa."
U00027,18-24,Da Nang_Quang Nam,student,desktop,wifi,average,trip_planning,none,completed,positive,TRIP_INFO_GAPS,"Chờ dữ liệu chính thức về quãng đường, chi phí hoặc lịch nhận khách",blocked_external,blocked_by_official_source,"evidence-deployed-latest.json#pageFacts.headings,anchors",booking_availability,lịch nhận khách và nút đặt/chuyển đầu mối,3.7,4.4,3.7,3.8,4.7,4.1,4.6,8,Ảnh mở đầu và bảng màu xanh tạo cảm giác Trà Linh rất riêng.,"Tôi đã có mùa phù hợp, cách tiếp cận và đầu mối liên hệ; phần còn thiếu là chi phí chính thức nếu sau này có nguồn.","Tôi vào trang để lên kế hoạch chuyến đi thật bằng máy tính qua Wi‑Fi. Tôi ưu tiên thông tin ngắn gọn và chi phí vừa túi tiền và có thể xuất phát từ khu vực Đà Nẵng–Quảng Nam. Ảnh mở đầu và bảng màu xanh tạo cảm giác Trà Linh rất riêng. Tôi đã có mùa phù hợp, cách tiếp cận và đầu mối liên hệ; phần còn thiếu là chi phí chính thức nếu sau này có nguồn. Đề xuất lịch nhận khách và nút đặt/chuyển đầu mối chỉ nên triển khai khi có nguồn chính thức và đơn vị chịu trách nhiệm."
